sku,name,description,price
SKU1,"Product 1","Description for product 1",441
SKU2,"Product 2","Description for product 2",139
SKU3,"Product 3","Description for product 3",228
SKU4,"Product 4","Description for product 4",918
SKU5,"Product 5","Description for product 5",292
SKU6,"Product 6","Description for product 6",885
SKU7,"Product 7","Description for product 7",651
SKU8,"Product 8","Description for product 8",385
SKU9,"Product 9","Description for product 9",179
SKU10,"Product 10","Description for product 10",687
SKU11,"Product 11","Description for product 11",418
SKU12,"Product 12","Description for product 12",881
SKU13,"Product 13","Description for product 13",150
SKU14,"Product 14","Description for product 14",932
SKU15,"Product 15","Description for product 15",684
SKU16,"Product 16","Description for product 16",603
SKU17,"Product 17","Description for product 17",355
SKU18,"Product 18","Description for product 18",36
SKU19,"Product 19","Description for product 19",362
SKU20,"Product 20","Description for product 20",562
SKU21,"Product 21","Description for product 21",585
SKU22,"Product 22","Description for product 22",829
SKU23,"Product 23","Description for product 23",88
SKU24,"Product 24","Description for product 24",157
SKU25,"Product 25","Description for product 25",416
SKU26,"Product 26","Description for product 26",562
SKU27,"Product 27","Description for product 27",729
SKU28,"Product 28","Description for product 28",729
SKU29,"Product 29","Description for product 29",865
SKU30,"Product 30","Description for product 30",665
SKU31,"Product 31","Description for product 31",804
SKU32,"Product 32","Description for product 32",906
SKU33,"Product 33","Description for product 33",515
SKU34,"Product 34","Description for product 34",109
SKU35,"Product 35","Description for product 35",943
SKU36,"Product 36","Description for product 36",229
SKU37,"Product 37","Description for product 37",59
SKU38,"Product 38","Description for product 38",262
SKU39,"Product 39","Description for product 39",980
SKU40,"Product 40","Description for product 40",123
SKU41,"Product 41","Description for product 41",241
SKU42,"Product 42","Description for product 42",254
SKU43,"Product 43","Description for product 43",206
SKU44,"Product 44","Description for product 44",36
SKU45,"Product 45","Description for product 45",817
SKU46,"Product 46","Description for product 46",233
SKU47,"Product 47","Description for product 47",688
SKU48,"Product 48","Description for product 48",462
SKU49,"Product 49","Description for product 49",121
SKU50,"Product 50","Description for product 50",557
SKU51,"Product 51","Description for product 51",235
SKU52,"Product 52","Description for product 52",699
SKU53,"Product 53","Description for product 53",990
SKU54,"Product 54","Description for product 54",138
SKU55,"Product 55","Description for product 55",976
SKU56,"Product 56","Description for product 56",903
SKU57,"Product 57","Description for product 57",878
SKU58,"Product 58","Description for product 58",922
SKU59,"Product 59","Description for product 59",757
SKU60,"Product 60","Description for product 60",701
SKU61,"Product 61","Description for product 61",750
SKU62,"Product 62","Description for product 62",165
SKU63,"Product 63","Description for product 63",937
SKU64,"Product 64","Description for product 64",135
SKU65,"Product 65","Description for product 65",734
SKU66,"Product 66","Description for product 66",872
SKU67,"Product 67","Description for product 67",768
SKU68,"Product 68","Description for product 68",116
SKU69,"Product 69","Description for product 69",617
SKU70,"Product 70","Description for product 70",412
SKU71,"Product 71","Description for product 71",687
SKU72,"Product 72","Description for product 72",394
SKU73,"Product 73","Description for product 73",671
SKU74,"Product 74","Description for product 74",809
SKU75,"Product 75","Description for product 75",667
SKU76,"Product 76","Description for product 76",185
SKU77,"Product 77","Description for product 77",675
SKU78,"Product 78","Description for product 78",743
SKU79,"Product 79","Description for product 79",935
SKU80,"Product 80","Description for product 80",283
SKU81,"Product 81","Description for product 81",538
SKU82,"Product 82","Description for product 82",322
SKU83,"Product 83","Description for product 83",365
